,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,69,Multi-Family (2-4 Unit),239 WINDSOR St,Kearny,NJ,7032,540000.0,6.0,2.0,Kearny,69.0,69.0,69.0,14.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Kearny/239-Windsor-St-07032/home/36582910,HCMLS,210017537,Y,Y,40.7661712,-74.1493998
1,MLS Listing,69,Multi-Family (2-4 Unit),70 Tillinghast St,Newark City,NJ,07108-1422,545000.0,2.0,4.5,Newark City,19998.0,2613.0,2021.0,1.0,27.0,69.0,Pre On-Market,69,69,http://www.redfin.com/NJ/Newark/70-Tillinghast-St-07108/home/165681649,GSMLS,3732308,Y,Y,40.7185965,-74.2096675
2,MLS Listing,69,Single Family Residential,132-15 133rd Ave,S. Ozone Park,NY,11420,679000.0,4.0,1.5,S. Ozone Park,1335.0,6000.0,1930.0,2.0,509.0,69.0,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/NY/Queens/132-15-133rd-Ave-11420/home/20723571,OneKey,3334795,Y,Y,40.6693447,-73.8059959
3,MLS Listing,69,Single Family Residential,114-64 222nd St,Cambria Heights,NY,11411,599000.0,4.0,2.0,Cambria Heights,69.0,3500.0,1950.0,4.0,69.0,69.0,Active,69,69,http://www.redfin.com/NY/Jamaica/114-64-222nd-St-11411/home/20735581,OneKey,3334610,Y,Y,40.69991,-73.73595
4,MLS Listing,69,Multi-Family (2-4 Unit),801 Logan St,E. New York,NY,11208,799000.0,5.0,3.0,E. New York,2500.0,1600.0,1910.0,1.0,320.0,69.0,Active,69,69,http://www.redfin.com/NY/Brooklyn/801-Logan-St-11208/home/40769897,OneKey,3335614,Y,Y,40.6666522,-73.8726829
5,MLS Listing,69,Multi-Family (2-4 Unit),39 W 29TH St,Bayonne,NJ,7002,459000.0,6.0,2.0,Bayonne,69.0,69.0,69.0,1.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Bayonne/39-W-29th-St-07002/home/36467627,HCMLS,210018605,Y,Y,40.6694808,-74.1158408
6,MLS Listing,69,Multi-Family (2-4 Unit),145 WEGMAN Pkwy,JERSEY CITY,NJ,7735,499900.0,6.0,2.0,Jersey City (Greenville),69.0,69.0,69.0,60.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Jersey-City/145-Wegman-Pkwy-07305/home/36530272,HCMLS,210013672,Y,Y,40.7048569,-74.083178
7,MLS Listing,69,Multi-Family (2-4 Unit),15 Webster St,North Arlington,NJ,7031,499000.0,4.0,2.0,North Arlington,69.0,5001.0,69.0,34.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/North-Arlington/15-Webster-St-07031/home/35804431,NJMLS,21026560,Y,Y,40.7973279,-74.1211285
8,MLS Listing,69,Single Family Residential,362 Bradley Ave,Staten Island,NY,10314,629900.0,4.0,3.0,Manor Heights,1816.0,2420.0,1988.0,1.0,347.0,69.0,Active,69,69,http://www.redfin.com/NY/Staten-Island/362-Bradley-Ave-10314/home/56105331,SIBORMLS,1148272,Y,Y,40.602094,-74.131649
9,MLS Listing,69,Single Family Residential,1454 75TH St,North Bergen,NJ,7047,580000.0,6.0,2.0,North Bergen,69.0,69.0,69.0,1.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/North-Bergen/1454-75th-St-07047/home/36598279,HCMLS,210018504,Y,Y,40.8031528,-74.0164937
10,MLS Listing,69,Single Family Residential,1143 Sewall Ave,Asbury Park,NJ,7712,249999.0,4.0,1.0,Asbury Heights,1242.0,1306.0,1920.0,2.0,201.0,69.0,Active,69,69,http://www.redfin.com/NJ/Asbury-Park/1143-Sewall-Ave-07712/home/36873450,MOMLS,22125419,Y,Y,40.2212473,-74.0189725
11,MLS Listing,69,Multi-Family (2-4 Unit),14 Shaw Ave,Newark City,NJ,07112-1526,549900.0,6.0,5.0,Newark City,3500.0,6969.0,2021.0,2.0,157.0,69.0,Active,69,69,http://www.redfin.com/NJ/Newark/14-Shaw-Ave-07112/home/175931032,GSMLS,3731550,Y,Y,40.7136784,-74.2170575
12,MLS Listing,69,Multi-Family (2-4 Unit),121 Myrtle Ave,Jersey City,NJ,07305-3509,399000.0,5.0,2.0,Jersey City,69.0,2613.0,69.0,1.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Jersey-City/121-Myrtle-Ave-07305/home/36529356,GSMLS,3731866,Y,Y,40.707597,-74.08004
13,MLS Listing,69,Multi-Family (2-4 Unit),65 Seymour Ave,Newark City,NJ,07108-1516,385000.0,7.0,3.0,Newark City,29997.0,3049.0,1902.0,1.0,13.0,69.0,Active,69,69,http://www.redfin.com/NJ/Newark/65-Seymour-Ave-07108/home/36275598,GSMLS,3731827,Y,Y,40.7232192,-74.2019511
14,MLS Listing,69,Single Family Residential,18 SUBURBIA Ct,JERSEY CITY,NJ,7305,525000.0,3.0,2.0,Jersey City (West Bergen),69.0,69.0,69.0,1.0,69.0,69.0,Active,August-7-2021 01:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/NJ/Jersey-City/18-Suburbia-Ct-07305/home/36525640,HCMLS,210018462,Y,Y,40.7017318,-74.1008945
15,MLS Listing,69,Single Family Residential,701 Warren St,Harrison,NJ,7029,399900.0,4.0,2.0,Harrison,69.0,2500.0,69.0,1.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Harrison/701-Warren-St-07029/home/36487703,NJMLS,21031561,Y,Y,40.7452202,-74.1497897
16,MLS Listing,69,Multi-Family (2-4 Unit),1302 85TH St,North Bergen,NJ,7047,542500.0,5.0,3.0,North Bergen,69.0,69.0,69.0,1.0,69.0,69.0,Active,August-8-2021 01:00 PM,August-8-2021 03:00 PM,http://www.redfin.com/NJ/North-Bergen/1302-85th-St-07047/home/36601629,HCMLS,210018460,Y,Y,40.8085236,-74.0103767
17,MLS Listing,69,Multi-Family (2-4 Unit),12-14 HARMON St,JERSEY CITY,NJ,7306,620000.0,5.0,3.0,Jersey City (Bergen-Lafayette),69.0,69.0,69.0,5.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Jersey-City/12-Harmon-St-07304/home/36571054,HCMLS,210018246,Y,Y,40.7148402,-74.0677348
18,MLS Listing,69,Single Family Residential,4 STEGMAN Ter,JERSEY CITY,NJ,7305,380000.0,3.0,2.0,Jersey City (Downtown),69.0,69.0,69.0,1.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Jersey-City/4-Stegman-Ter-07305/home/36528128,HCMLS,210018422,Y,Y,40.7084586,-74.0917976
19,MLS Listing,69,Single Family Residential,415 Lafayette St,Newark,NJ,7105,335000.0,3.0,2.5,Newark,69.0,1011.0,69.0,2.0,69.0,69.0,Active,August-7-2021 01:00 PM,August-7-2021 03:00 PM,http://www.redfin.com/NJ/Newark/415-Lafayette-St-07105/home/36265715,NJMLS,21031409,Y,Y,40.7260709,-74.1542709
