SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),239 WINDSOR St,Kearny,NJ,7032,540000,6,2,Kearny,,,,14,,,Active,,,http://www.redfin.com/NJ/Kearny/239-Windsor-St-07032/home/36582910,HCMLS,210017537,Y,Y,40.7661712,-74.1493998
MLS Listing,,Multi-Family (2-4 Unit),70 Tillinghast St,Newark City,NJ,07108-1422,545000,2,4.5,Newark City,19998,2613,2021,1,27,,Pre On-Market,,,http://www.redfin.com/NJ/Newark/70-Tillinghast-St-07108/home/165681649,GSMLS,3732308,Y,Y,40.7185965,-74.2096675
MLS Listing,,Single Family Residential,132-15 133rd Ave,S. Ozone Park,NY,11420,679000,4,1.5,S. Ozone Park,1335,6000,1930,2,509,,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/NY/Queens/132-15-133rd-Ave-11420/home/20723571,OneKey,3334795,Y,Y,40.6693447,-73.8059959
MLS Listing,,Single Family Residential,114-64 222nd St,Cambria Heights,NY,11411,599000,4,2,Cambria Heights,,3500,1950,4,,,Active,,,http://www.redfin.com/NY/Jamaica/114-64-222nd-St-11411/home/20735581,OneKey,3334610,Y,Y,40.69991,-73.73595
MLS Listing,,Multi-Family (2-4 Unit),801 Logan St,E. New York,NY,11208,799000,5,3,E. New York,2500,1600,1910,1,320,,Active,,,http://www.redfin.com/NY/Brooklyn/801-Logan-St-11208/home/40769897,OneKey,3335614,Y,Y,40.6666522,-73.8726829
MLS Listing,,Multi-Family (2-4 Unit),39 W 29TH St,Bayonne,NJ,7002,459000,6,2,Bayonne,,,,1,,,Active,,,http://www.redfin.com/NJ/Bayonne/39-W-29th-St-07002/home/36467627,HCMLS,210018605,Y,Y,40.6694808,-74.1158408
MLS Listing,,Multi-Family (2-4 Unit),145 WEGMAN Pkwy,JERSEY CITY,NJ,7735,499900,6,2,Jersey City (Greenville),,,,60,,,Active,,,http://www.redfin.com/NJ/Jersey-City/145-Wegman-Pkwy-07305/home/36530272,HCMLS,210013672,Y,Y,40.7048569,-74.083178
MLS Listing,,Multi-Family (2-4 Unit),15 Webster St,North Arlington,NJ,7031,499000,4,2,North Arlington,,5001,,34,,,Active,,,http://www.redfin.com/NJ/North-Arlington/15-Webster-St-07031/home/35804431,NJMLS,21026560,Y,Y,40.7973279,-74.1211285
MLS Listing,,Single Family Residential,362 Bradley Ave,Staten Island,NY,10314,629900,4,3,Manor Heights,1816,2420,1988,1,347,,Active,,,http://www.redfin.com/NY/Staten-Island/362-Bradley-Ave-10314/home/56105331,SIBORMLS,1148272,Y,Y,40.602094,-74.131649
MLS Listing,,Single Family Residential,1454 75TH St,North Bergen,NJ,7047,580000,6,2,North Bergen,,,,1,,,Active,,,http://www.redfin.com/NJ/North-Bergen/1454-75th-St-07047/home/36598279,HCMLS,210018504,Y,Y,40.8031528,-74.0164937
MLS Listing,,Single Family Residential,1143 Sewall Ave,Asbury Park,NJ,7712,249999,4,1,Asbury Heights,1242,1306,1920,2,201,,Active,,,http://www.redfin.com/NJ/Asbury-Park/1143-Sewall-Ave-07712/home/36873450,MOMLS,22125419,Y,Y,40.2212473,-74.0189725
MLS Listing,,Multi-Family (2-4 Unit),14 Shaw Ave,Newark City,NJ,07112-1526,549900,6,5,Newark City,3500,6969,2021,2,157,,Active,,,http://www.redfin.com/NJ/Newark/14-Shaw-Ave-07112/home/175931032,GSMLS,3731550,Y,Y,40.7136784,-74.2170575
MLS Listing,,Multi-Family (2-4 Unit),121 Myrtle Ave,Jersey City,NJ,07305-3509,399000,5,2,Jersey City,,2613,,1,,,Active,,,http://www.redfin.com/NJ/Jersey-City/121-Myrtle-Ave-07305/home/36529356,GSMLS,3731866,Y,Y,40.707597,-74.08004
MLS Listing,,Multi-Family (2-4 Unit),65 Seymour Ave,Newark City,NJ,07108-1516,385000,7,3,Newark City,29997,3049,1902,1,13,,Active,,,http://www.redfin.com/NJ/Newark/65-Seymour-Ave-07108/home/36275598,GSMLS,3731827,Y,Y,40.7232192,-74.2019511
MLS Listing,,Single Family Residential,18 SUBURBIA Ct,JERSEY CITY,NJ,7305,525000,3,2,Jersey City (West Bergen),,,,1,,,Active,August-7-2021 01:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/NJ/Jersey-City/18-Suburbia-Ct-07305/home/36525640,HCMLS,210018462,Y,Y,40.7017318,-74.1008945
MLS Listing,,Single Family Residential,701 Warren St,Harrison,NJ,7029,399900,4,2,Harrison,,2500,,1,,,Active,,,http://www.redfin.com/NJ/Harrison/701-Warren-St-07029/home/36487703,NJMLS,21031561,Y,Y,40.7452202,-74.1497897
MLS Listing,,Multi-Family (2-4 Unit),1302 85TH St,North Bergen,NJ,7047,542500,5,3,North Bergen,,,,1,,,Active,August-8-2021 01:00 PM,August-8-2021 03:00 PM,http://www.redfin.com/NJ/North-Bergen/1302-85th-St-07047/home/36601629,HCMLS,210018460,Y,Y,40.8085236,-74.0103767
MLS Listing,,Multi-Family (2-4 Unit),12-14 HARMON St,JERSEY CITY,NJ,7306,620000,5,3,Jersey City (Bergen-Lafayette),,,,5,,,Active,,,http://www.redfin.com/NJ/Jersey-City/12-Harmon-St-07304/home/36571054,HCMLS,210018246,Y,Y,40.7148402,-74.0677348
MLS Listing,,Single Family Residential,4 STEGMAN Ter,JERSEY CITY,NJ,7305,380000,3,2,Jersey City (Downtown),,,,1,,,Active,,,http://www.redfin.com/NJ/Jersey-City/4-Stegman-Ter-07305/home/36528128,HCMLS,210018422,Y,Y,40.7084586,-74.0917976
MLS Listing,,Single Family Residential,415 Lafayette St,Newark,NJ,7105,335000,3,2.5,Newark,,1011,,2,,,Active,August-7-2021 01:00 PM,August-7-2021 03:00 PM,http://www.redfin.com/NJ/Newark/415-Lafayette-St-07105/home/36265715,NJMLS,21031409,Y,Y,40.7260709,-74.1542709
MLS Listing,,Single Family Residential,823 E 228th St,BRONX,NY,10466,505000,4,1.5,BRONX,1320,2631,1910,63,383,,Active,,,http://www.redfin.com/NY/Bronx/823-E-228th-St-10466/home/44788380,OneKey,H6121022,Y,Y,40.888909,-73.855506
MLS Listing,,Multi-Family (2-4 Unit),166 N 12th St,Newark,NJ,7107,578000,9,3,Newark,,3001,,26,,,Active,,,http://www.redfin.com/NJ/Newark/166-N-12th-St-07107/home/36262746,NJMLS,21027989,Y,Y,40.7621346,-74.1918617
MLS Listing,,Multi-Family (2-4 Unit),77 Linden St,Yonkers,NY,10701,499990,5,2,Old 7th Ward,2322,3624,1910,2,215,,Active,,,http://www.redfin.com/NY/Yonkers/77-Linden-St-10701/home/20178355,OneKey,H6134145,Y,Y,40.9332816,-73.8921883
MLS Listing,,Multi-Family (2-4 Unit),718 10TH St,Union City,NJ,7087,699000,5,3,Union City,,,,2,,,Active,,,http://www.redfin.com/NJ/Union-City/718-10th-St-07087/home/36615665,HCMLS,210018357,Y,Y,40.7598237,-74.0418579
MLS Listing,,Multi-Family (2-4 Unit),806 CENTRAL Ave,Union City,NJ,7087,459000,3,3,Union City,,,,2,,,Active,,,http://www.redfin.com/NJ/Union-City/806-Central-Ave-07087/home/36615801,HCMLS,210018337,Y,Y,40.7584209,-74.0414811
MLS Listing,,Multi-Family (2-4 Unit),12 POLLOCK Ave,JERSEY CITY,NJ,7305,625000,8,3,Jersey City (West Bergen),,,,2,,,Active,,,http://www.redfin.com/NJ/Jersey-City/12-Pollock-Ave-07305/home/36529168,HCMLS,210018338,Y,Y,40.7141456,-74.0896179
PAST SALE,,Multi-Family (2-4 Unit),1340 Teller Ave,Bronx,NY,10456,148500,,,,1866,2042,1901,,80,,,,,http://www.redfin.com/NY/Bronx/1340-Teller-Ave-10456/home/44602876,,,Y,Y,40.83534,-73.90952
