,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,2025,Multi-Family (2-4 Unit),239 WINDSOR St,Kearny,NJ,7032,540000.0,6.0,2.0,Kearny,,,,14.0,,,Active,,HCMLS,210017537,Y,Y,40.7661712,-74.1493998
1,MLS Listing,2025,Multi-Family (2-4 Unit),70 Tillinghast St,Newark City,NJ,07108-1422,545000.0,2.0,4.5,Newark City,19998.0,2613.0,2021.0,1.0,27.0,,Pre On-Market,,GSMLS,3732308,Y,Y,40.7185965,-74.2096675
2,MLS Listing,2025,Single Family Residential,132-15 133rd Ave,S. Ozone Park,NY,11420,679000.0,4.0,1.5,S. Ozone Park,1335.0,6000.0,1930.0,2.0,509.0,,Active,August-7-2021 02:00 PM,OneKey,3334795,Y,Y,40.6693447,-73.8059959
3,MLS Listing,2025,Single Family Residential,114-64 222nd St,Cambria Heights,NY,11411,599000.0,4.0,2.0,Cambria Heights,,3500.0,1950.0,4.0,,,Active,,OneKey,3334610,Y,Y,40.69991,-73.73595
4,MLS Listing,2025,Multi-Family (2-4 Unit),801 Logan St,E. New York,NY,11208,799000.0,5.0,3.0,E. New York,2500.0,1600.0,1910.0,1.0,320.0,,Active,,OneKey,3335614,Y,Y,40.6666522,-73.8726829
5,MLS Listing,2025,Multi-Family (2-4 Unit),39 W 29TH St,Bayonne,NJ,7002,459000.0,6.0,2.0,Bayonne,,,,1.0,,,Active,,HCMLS,210018605,Y,Y,40.6694808,-74.1158408
6,MLS Listing,2025,Multi-Family (2-4 Unit),145 WEGMAN Pkwy,JERSEY CITY,NJ,7735,499900.0,6.0,2.0,Jersey City (Greenville),,,,60.0,,,Active,,HCMLS,210013672,Y,Y,40.7048569,-74.083178
7,MLS Listing,2025,Multi-Family (2-4 Unit),15 Webster St,North Arlington,NJ,7031,499000.0,4.0,2.0,North Arlington,,5001.0,,34.0,,,Active,,NJMLS,21026560,Y,Y,40.7973279,-74.1211285
8,MLS Listing,2025,Single Family Residential,362 Bradley Ave,Staten Island,NY,10314,629900.0,4.0,3.0,Manor Heights,1816.0,2420.0,1988.0,1.0,347.0,,Active,,SIBORMLS,1148272,Y,Y,40.602094,-74.131649
9,MLS Listing,2025,Single Family Residential,1454 75TH St,North Bergen,NJ,7047,580000.0,6.0,2.0,North Bergen,,,,1.0,,,Active,,HCMLS,210018504,Y,Y,40.8031528,-74.0164937
10,MLS Listing,2025,Single Family Residential,1143 Sewall Ave,Asbury Park,NJ,7712,249999.0,4.0,1.0,Asbury Heights,1242.0,1306.0,1920.0,2.0,201.0,,Active,,MOMLS,22125419,Y,Y,40.2212473,-74.0189725
11,MLS Listing,2025,Multi-Family (2-4 Unit),14 Shaw Ave,Newark City,NJ,07112-1526,549900.0,6.0,5.0,Newark City,3500.0,6969.0,2021.0,2.0,157.0,,Active,,GSMLS,3731550,Y,Y,40.7136784,-74.2170575
12,MLS Listing,2025,Multi-Family (2-4 Unit),121 Myrtle Ave,Jersey City,NJ,07305-3509,399000.0,5.0,2.0,Jersey City,,2613.0,,1.0,,,Active,,GSMLS,3731866,Y,Y,40.707597,-74.08004
13,MLS Listing,2025,Multi-Family (2-4 Unit),65 Seymour Ave,Newark City,NJ,07108-1516,385000.0,7.0,3.0,Newark City,29997.0,3049.0,1902.0,1.0,13.0,,Active,,GSMLS,3731827,Y,Y,40.7232192,-74.2019511
14,MLS Listing,2025,Single Family Residential,18 SUBURBIA Ct,JERSEY CITY,NJ,7305,525000.0,3.0,2.0,Jersey City (West Bergen),,,,1.0,,,Active,August-7-2021 04:00 PM,HCMLS,210018462,Y,Y,40.7017318,-74.1008945
15,MLS Listing,2025,Single Family Residential,701 Warren St,Harrison,NJ,7029,399900.0,4.0,2.0,Harrison,,2500.0,,1.0,,,Active,,NJMLS,21031561,Y,Y,40.7452202,-74.1497897
16,MLS Listing,2025,Multi-Family (2-4 Unit),1302 85TH St,North Bergen,NJ,7047,542500.0,5.0,3.0,North Bergen,,,,1.0,,,Active,August-8-2021 03:00 PM,HCMLS,210018460,Y,Y,40.8085236,-74.0103767
17,MLS Listing,2025,Multi-Family (2-4 Unit),12-14 HARMON St,JERSEY CITY,NJ,7306,620000.0,5.0,3.0,Jersey City (Bergen-Lafayette),,,,5.0,,,Active,,HCMLS,210018246,Y,Y,40.7148402,-74.0677348
18,MLS Listing,2025,Single Family Residential,4 STEGMAN Ter,JERSEY CITY,NJ,7305,380000.0,3.0,2.0,Jersey City (Downtown),,,,1.0,,,Active,,HCMLS,210018422,Y,Y,40.7084586,-74.0917976
19,MLS Listing,2025,Single Family Residential,415 Lafayette St,Newark,NJ,7105,335000.0,3.0,2.5,Newark,,1011.0,,2.0,,,Active,August-7-2021 03:00 PM,NJMLS,21031409,Y,Y,40.7260709,-74.1542709
20,MLS Listing,2025,Single Family Residential,823 E 228th St,BRONX,NY,10466,505000.0,4.0,1.5,BRONX,1320.0,2631.0,1910.0,63.0,383.0,,Active,,OneKey,H6121022,Y,Y,40.888909,-73.855506
21,MLS Listing,2025,Multi-Family (2-4 Unit),166 N 12th St,Newark,NJ,7107,578000.0,9.0,3.0,Newark,,3001.0,,26.0,,,Active,,NJMLS,21027989,Y,Y,40.7621346,-74.1918617
22,MLS Listing,2025,Multi-Family (2-4 Unit),77 Linden St,Yonkers,NY,10701,499990.0,5.0,2.0,Old 7th Ward,2322.0,3624.0,1910.0,2.0,215.0,,Active,,OneKey,H6134145,Y,Y,40.9332816,-73.8921883
23,MLS Listing,2025,Multi-Family (2-4 Unit),718 10TH St,Union City,NJ,7087,699000.0,5.0,3.0,Union City,,,,2.0,,,Active,,HCMLS,210018357,Y,Y,40.7598237,-74.0418579
24,MLS Listing,2025,Multi-Family (2-4 Unit),806 CENTRAL Ave,Union City,NJ,7087,459000.0,3.0,3.0,Union City,,,,2.0,,,Active,,HCMLS,210018337,Y,Y,40.7584209,-74.0414811
25,MLS Listing,2025,Multi-Family (2-4 Unit),12 POLLOCK Ave,JERSEY CITY,NJ,7305,625000.0,8.0,3.0,Jersey City (West Bergen),,,,2.0,,,Active,,HCMLS,210018338,Y,Y,40.7141456,-74.0896179
27,MLS Listing,2025,Single Family Residential,197 DICKERSON St,Newark City,NJ,07107-2838,369900.0,4.0,2.5,Newark City,,,,3.0,,,Active,,GSMLS,3731441,Y,Y,40.749921,-74.192637
28,MLS Listing,2025,Multi-Family (2-4 Unit),419 74TH St,North Bergen,NJ,07047-000,655000.0,7.0,2.5,North Bergen,,,,3.0,,,Active,August-7-2021 03:00 PM,HCMLS,210018303,Y,Y,40.797908,-74.0081273
29,MLS Listing,2025,Single Family Residential,358 BERGEN Ave,JERSEY CITY,NJ,7304,375000.0,5.0,2.5,Jersey City (West Bergen),,,,3.0,,,Active,,HCMLS,210018311,Y,Y,40.7141693,-74.0803307
31,For-Sale-by-Owner Listing,2025,Multi-Family (2-4 Unit),588 66th St,West New York,NJ,7093,699999.0,5.0,2.0,West New York,,,,4.0,,,Active,,FSBO.com,525861,Y,Y,40.794877,-74.0157248
33,MLS Listing,2025,Single Family Residential,907 73RD St,North Bergen,NJ,7047,649900.0,5.0,3.5,North Bergen,,,,5.0,,,Active,,HCMLS,210018198,Y,Y,40.799273,-74.013052
34,MLS Listing,2025,Multi-Family (2-4 Unit),206-208 Brookside Ave,Irvington,NJ,7111,359900.0,4.0,3.0,Irvington,,2313.0,,5.0,,,Active,,NJMLS,21031070,Y,Y,40.7330177,-74.2217888
36,MLS Listing,2025,Multi-Family (2-4 Unit),167 WILKINSON Ave,JERSEY CITY,NJ,7305,499000.0,5.0,3.0,Jersey City (Greenville),,,,72.0,,,Active,,HCMLS,210012549,Y,Y,40.7071952,-74.0820808
37,MLS Listing,2025,Multi-Family (2-4 Unit),1022 E 81 St,Brooklyn,NY,11236,679900.0,6.0,3.5,Brooklyn,,2000.0,,8.0,,,Active,,BNYMLS,454239,Y,Y,40.633764,-73.910392
38,MLS Listing,2025,Single Family Residential,1720 E 54th St,Brooklyn,NY,11234,649000.0,4.0,2.25,Brooklyn,1296.0,1800.0,,47.0,501.0,,Active,,BNYMLS,452144,Y,Y,40.6155665,-73.9228804
39,MLS Listing,2025,Multi-Family (2-4 Unit),58-60 78 Ave,Glendale,NY,11385,550000.0,5.0,2.0,Glendale,2500.0,2500.0,1925.0,8.0,220.0,,Active,,OneKey,3333269,Y,Y,40.695765,-73.89655
40,MLS Listing,2025,Multi-Family (2-4 Unit),1105 Winthrop St,Brownsville,NY,11212,400000.0,5.0,3.0,Brownsville,,3450.0,1920.0,124.0,,,Active,,OneKey,3299966,Y,Y,40.6621211,-73.923341
41,MLS Listing,2025,Townhouse,115-15 202 St,Queens,NY,11412,575000.0,4.0,2.5,St. Albans,,4000.0,1945.0,26.0,,,Active,,REBNY,RLMX-015980031013,Y,Y,40.6980168,-73.7515421
42,MLS Listing,2025,Single Family Residential,215-05 104th Ave,Queens Village,NY,11429,499000.0,4.0,2.0,Queens Village,1280.0,1280.0,1930.0,35.0,390.0,,Active,,OneKey,3325939,Y,Y,40.712232,-73.743483
43,MLS Listing,2025,Single Family Residential,66 Sussex Rd,Elmont,NY,11003,415000.0,4.0,2.0,Elmont,,4000.0,1941.0,55.0,,,Active,,OneKey,3320441,Y,Y,40.7064687,-73.7213752
