,PRICE,BEDS,BATHS,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,LIKE
343,975,3,1,SINGLE FAMILY RESIDENTIAL,1206 12TH St,NORTH BERGEN,NJ,07047-1834,NO
544,8000,2,1,TOWNHOUSE,2914 Rutledge St,PHILADELPHIA,PA,19134,NO
606,13000,3,1,TOWNHOUSE,3059 Martha St,PHILADELPHIA,PA,19134,NO
582,23560,3,1,TOWNHOUSE,2003 Westwood Ave,BALTIMORE,MD,21217,NO
587,27750,2,1,TOWNHOUSE,5452 Spring St,PHILADELPHIA,PA,19139,NO
547,39900,3,1,TOWNHOUSE,3131 Weymouth St,PHILADELPHIA,PA,19134,NO
563,45000,3,1,TOWNHOUSE,3738 N 8th St,PHILADELPHIA,PA,19140,NO
400,49000,2,1,TOWNHOUSE,2728 N Hope St,PHILADELPHIA,PA,19133,NO
531,50000,4,1,TOWNHOUSE,3056 N Swanson St,PHILADELPHIA,PA,19134,NO
537,50000,3,1,TOWNHOUSE,3348 N Lee St,PHILADELPHIA,PA,19134,NO
579,50000,3,1,TOWNHOUSE,41 N Ithan St,PHILADELPHIA,PA,19139,NO
588,51870,3,1,TOWNHOUSE,2217 W Firth St,PHILADELPHIA,PA,19132,NO
477,52000,4,2,TOWNHOUSE,5212 W Thompson St,PHILADELPHIA,PA,19131,NO
550,53000,3,1.5,TOWNHOUSE,113 E Lippincott St,PHILADELPHIA,PA,19134,NO
549,53250,2,1,TOWNHOUSE,1861 E Wishart St,PHILADELPHIA,PA,19134,NO
601,55000,3,1,TOWNHOUSE,1541 W Seltzer St,PHILADELPHIA,PA,19132,NO
493,58000,3,1,TOWNHOUSE,2633 N Bancroft St,PHILADELPHIA,PA,19132,NO
575,60000,4,1,TOWNHOUSE,3046 N 9th St,PHILADELPHIA,PA,19133,NO
546,60500,3,1,TOWNHOUSE,3067 Potter St,PHILADELPHIA,PA,19134,NO
483,64000,3,1,TOWNHOUSE,141 N Wanamaker St,PHILADELPHIA,PA,19139,NO
540,65000,3,1,TOWNHOUSE,3306 Kip St,PHILADELPHIA,PA,19134,NO
556,65000,3,1,TOWNHOUSE,729 E Thayer St,PHILADELPHIA,PA,19134,NO
533,65500,3,2,TOWNHOUSE,3118 N 8th St,PHILADELPHIA,PA,19133,NO
538,67000,3,1,TOWNHOUSE,624 E Lippincott St,PHILADELPHIA,PA,19134,NO
368,70000,2,1,TOWNHOUSE,24 N Peach St,PHILADELPHIA,PA,19139,NO
552,70000,4,2,TOWNHOUSE,4013 N 8th St,PHILADELPHIA,PA,19140,NO
627,70000,4,1,TOWNHOUSE,1519-21 N Conestoga St,PHILADELPHIA,PA,19131,NO
543,71000,2,1,TOWNHOUSE,3054 Coral St,PHILADELPHIA,PA,19134,NO
560,73000,6,3,TOWNHOUSE,1900 Homewood Ave,BALTIMORE,MD,21218,NO
324,75000,3,1,TOWNHOUSE,1816 E Wishart St,PHILADELPHIA,PA,19134,NO
473,75000,3,1.5,TOWNHOUSE,2519 S Felton St,PHILADELPHIA,PA,19142,NO
526,75000,2,1,TOWNHOUSE,5110 Reno St,PHILADELPHIA,PA,19139,NO
554,75000,2,1,TOWNHOUSE,5141 Reno St,PHILADELPHIA,PA,19139,NO
541,79700,3,1.5,TOWNHOUSE,3574 Jasper St,PHILADELPHIA,PA,19134,NO
542,80000,3,1,TOWNHOUSE,4208 N Fairhill St,PHILADELPHIA,PA,19140,NO
482,82000,3,1,TOWNHOUSE,25 N Conestoga St,PHILADELPHIA,PA,19139,NO
413,83000,3,1,TOWNHOUSE,2831 W Clearfield St,PHILADELPHIA,PA,19132,NO
440,85000,3,1,TOWNHOUSE,138 Lafayette Ave,DARBY,PA,19023,NO
539,85000,2,1,TOWNHOUSE,4826 Hawthorne St,PHILADELPHIA,PA,19124,NO
